evaluation,phase,candidate_kp,candidate_ki,objective,best_kp,best_ki,best_objective,expected_improvement,predicted_mean,predicted_std
1,IMC初始点,0.028403648292790084,2.6357425425218354e-05,322.9094290820545,0.028403648292790084,2.6357425425218354e-05,322.9094290820545,nan,nan,nan
2,随机初始探索,0.3358930751634101,0.0005163950180128371,52.75635189397788,0.3358930751634101,0.0005163950180128371,52.75635189397788,nan,nan,nan
3,随机初始探索,0.588236022016932,0.005270965473652878,32.24261314033571,0.588236022016932,0.005270965473652878,32.24261314033571,nan,nan,nan
4,随机初始探索,0.0037307456430223616,0.06426016432079308,87.51400829571637,0.588236022016932,0.005270965473652878,32.24261314033571,nan,nan,nan
5,随机初始探索,0.30856969332792883,0.011697140839327809,33.56471302348966,0.588236022016932,0.005270965473652878,32.24261314033571,nan,nan,nan
6,随机初始探索,0.004670512494985901,0.0005726599941331882,232.35620203538596,0.588236022016932,0.005270965473652878,32.24261314033571,nan,nan,nan
7,随机初始探索,0.02328611466524138,0.04142353407722066,91.34441622659162,0.588236022016932,0.005270965473652878,32.24261314033571,nan,nan,nan
8,贝叶斯 EI 迭代,1.4355730136002587,0.00012484290661663724,43.13068037192329,0.588236022016932,0.005270965473652878,32.24261314033571,14.327925060091653,52.31142630173002,57.61616567807777
9,贝叶斯 EI 迭代,1.363801127022929,0.06994004359711739,48.30187972674059,0.588236022016932,0.005270965473652878,32.24261314033571,9.660371269760809,52.89754815746479,45.50100337560904
10,贝叶斯 EI 迭代,0.26797218386142396,0.07211061568250356,71.57114274042921,0.588236022016932,0.005270965473652878,32.24261314033571,7.070766006457068,30.555871745992533,15.531879934352162
