algorithm,display_name,wall_clock_second,simulated_minute,temperature_c,measurement_c,setpoint_c,comfort_low_c,comfort_high_c,requested_command_pct,command_pct,kp,ki,candidate_temperature_c,candidate_kp,candidate_ki,door_open,in_comfort_band,fallback_active,status
llm,LLM Agent 自动调参,0.0,0.0,30.047864772576073,29.986622318270214,24.0,23.5,24.5,100.0,30.0,0.4657376424916451,0.00364826335084437,30.047864772576073,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,0.30000000000000004,1.0,30.095247596370523,30.006659167050152,24.0,23.5,24.5,100.0,35.0,0.4657376424916451,0.00364826335084437,30.095247596370523,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,0.6000000000000001,2.0,30.14215387577466,30.043997890682274,24.0,23.5,24.5,100.0,40.0,0.4657376424916451,0.00364826335084437,30.14215387577466,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,0.9,3.0,30.188588954466,30.05422210716568,24.0,23.5,24.5,100.0,45.0,0.4657376424916451,0.00364826335084437,30.188588954466,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,1.2000000000000002,4.0,30.21655294048374,30.08038217905229,24.0,23.5,24.5,100.0,50.0,0.4657376424916451,0.00364826335084437,30.21655294048374,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,1.5,5.0,30.21704192209759,30.113003316600956,24.0,23.5,24.5,100.0,55.00000000000001,0.4657376424916451,0.00364826335084437,30.21704192209759,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,1.8,6.0,30.19333139459976,30.16105333853399,24.0,23.5,24.5,100.0,60.0,0.4657376424916451,0.00364826335084437,30.19333139459976,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,2.1,7.0,30.147794122513012,30.186649401315226,24.0,23.5,24.5,100.0,65.0,0.4657376424916451,0.00364826335084437,30.147794122513012,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,2.4000000000000004,8.0,30.082161689834248,30.177974536978482,24.0,23.5,24.5,100.0,70.0,0.4657376424916451,0.00364826335084437,30.082161689834248,0.4657376424916451,0.00364826335084437,0,0,0,降温中
llm,LLM Agent 自动调参,2.6999999999999997,9.0,29.997710121273272,30.15201577014595,24.0,23.5,24.5,100.0,75.0,0.4657376424916451,0.00364826335084437,29.997710121273272,0.4657376424916451,0.00364826335084437,0,0,0,降温中
