time,temperature,next_temperature,setpoint,disturbance,command,kp,ki
0.0,28.0,28.006655567890952,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.1,28.006655567890952,28.01328898748993,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.2,28.01328898748993,28.019900332501663,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.30000000000000004,28.019900332501663,28.02648967638561,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.4,28.02648967638561,28.033057092356763,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.5,28.033057092356763,28.03960265338649,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.6000000000000001,28.03960265338649,28.046126432203305,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.7000000000000001,28.046126432203305,28.05262850129371,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.8,28.05262850129371,28.059108932902983,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
0.9,28.059108932902983,28.06556779903599,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.0,28.06556779903599,28.07200517145797,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.1,28.07200517145797,28.078421121695357,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.2000000000000002,28.078421121695357,28.084815721036545,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.3,28.084815721036545,28.091189040532708,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.4000000000000001,28.091189040532708,28.097541150998573,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.5,28.097541150998573,28.10387212301321,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.6,28.10387212301321,28.110182026920818,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.7000000000000002,28.110182026920818,28.116470932831504,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.8,28.116470932831504,28.122738910622065,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
1.9000000000000001,28.122738910622065,28.128986029936765,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.0,28.128986029936765,28.10859008862429,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.1,28.10859008862429,28.088262020597867,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.2,28.088262020597867,28.068001599989866,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.3000000000000003,28.068001599989866,28.047808601684295,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.4000000000000004,28.047808601684295,28.027682801314295,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.5,28.027682801314295,28.007623975259655,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.6,28.007623975259655,27.987631900644324,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.7,27.987631900644324,27.967706355333934,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.8000000000000003,27.967706355333934,27.947847117933335,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
2.9000000000000004,27.947847117933335,27.928053967784127,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.0,27.928053967784127,27.908326684962216,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.1,27.908326684962216,27.888665050275367,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.2,27.888665050275367,27.86906884526077,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.3000000000000003,27.86906884526077,27.849537852182614,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.4000000000000004,27.849537852182614,27.83007185402966,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.5,27.83007185402966,27.810670634512846,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.6,27.810670634512846,27.79133397806286,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.7,27.79133397806286,27.772061669827767,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.8000000000000003,27.772061669827767,27.752853495670614,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
3.9000000000000004,27.752853495670614,27.73370924216704,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.0,27.73370924216704,27.714628696602926,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.1000000000000005,27.714628696602926,27.69561164697201,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.2,27.69561164697201,27.676657881973547,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.3,27.676657881973547,27.657767191009953,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.4,27.657767191009953,27.638939364184466,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.5,27.638939364184466,27.620174192298816,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.6000000000000005,27.620174192298816,27.601471466850903,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.7,27.601471466850903,27.58283098003247,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
4.800000000000001,27.58283098003247,27.564252524726808,24.0,0.0,1.0,0.2884615384615404,0.014423076923076986
